duration,protocol_type,service,wrong_fragment,num_failed_logins,logged_in,num_compromised,root_shell,num_root,num_file_creations,su_attempted,num_shells,is_guest_login,srv_count,srv_serror_rate,srv_rerror_rate,diff_srv_rate,srv_diff_host_rate,dst_host_srv_count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,labels,dificulty
0,udp,other,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.15,0.0,1,0.6,0.88,0.0,0.0,0.0,0.0,normal,15
0,tcp,private,0,0,0,0,0,0,0,0,0,0,6,1.0,0.0,0.07,0.0,26,0.05,0.0,0.0,1.0,0.0,0.0,neptune,19
0,tcp,http,0,0,1,0,0,0,0,0,0,0,5,0.2,0.0,0.0,0.0,255,0.0,0.03,0.04,0.01,0.0,0.01,normal,21
0,tcp,http,0,0,1,0,0,0,0,0,0,0,32,0.0,0.0,0.0,0.09,255,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,19,0.0,1.0,0.06,0.0,19,0.07,0.0,0.0,0.0,1.0,1.0,neptune,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,9,1.0,0.0,0.06,0.0,9,0.05,0.0,0.0,1.0,0.0,0.0,neptune,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,16,1.0,0.0,0.06,0.0,15,0.07,0.0,0.0,1.0,0.0,0.0,neptune,21
0,tcp,remote_job,0,0,0,0,0,0,0,0,0,0,23,1.0,0.0,0.05,0.0,23,0.05,0.0,0.0,1.0,0.0,0.0,neptune,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,8,1.0,0.0,0.06,0.0,13,0.06,0.0,0.0,1.0,0.0,0.0,neptune,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,12,0.0,1.0,0.06,0.0,12,0.07,0.0,0.0,0.0,1.0,1.0,neptune,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.06,0.0,13,0.07,0.0,0.0,1.0,0.0,0.0,neptune,21
0,tcp,http,0,0,1,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.43,219,0.0,0.12,0.03,0.0,0.0,0.0,normal,21
0,tcp,ftp_data,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,20,0.0,1.0,0.2,0.0,0.0,0.0,warezclient,15
0,tcp,name,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.06,0.0,1,0.07,0.0,0.0,1.0,0.0,0.0,neptune,19
0,tcp,netbios_ns,0,0,0,0,0,0,0,0,0,0,16,1.0,0.0,0.05,0.0,2,0.06,0.0,0.0,1.0,0.0,0.0,neptune,18
0,tcp,http,0,0,1,0,0,0,0,0,0,0,9,0.11,0.0,0.0,0.22,255,0.0,0.01,0.02,0.0,0.0,0.0,normal,21
0,icmp,eco_i,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,16,0.0,1.0,1.0,0.0,0.0,0.0,ipsweep,18
0,tcp,http,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,255,0.0,0.02,0.03,0.0,0.02,0.0,normal,21
0,tcp,http,0,0,1,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.2,255,0.0,0.01,0.04,0.0,0.0,0.0,normal,21
0,tcp,mtp,0,0,0,0,0,0,0,0,0,0,23,1.0,0.0,0.05,0.0,23,0.05,0.0,0.0,1.0,0.0,0.0,neptune,18
0,tcp,private,0,0,0,0,0,0,0,0,0,0,17,1.0,0.0,0.05,0.0,17,0.06,0.0,0.0,1.0,0.0,0.0,neptune,18
0,tcp,http,0,0,1,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.2,255,0.0,0.01,0.02,0.0,0.0,0.0,normal,21
5607,udp,other,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,0.85,1.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,mtp,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,0.06,0.0,2,0.06,0.0,0.0,1.0,0.0,0.0,neptune,19
507,tcp,telnet,0,0,1,3,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,25,0.05,0.0,0.0,0.0,0.02,0.16,normal,20
0,tcp,private,0,0,0,0,0,0,0,0,0,0,7,1.0,0.0,0.06,0.0,13,0.07,0.0,0.0,1.0,0.0,0.0,neptune,21
0,tcp,http,0,0,1,0,0,0,0,0,0,0,22,0.0,0.0,0.0,0.18,255,0.0,0.02,0.14,0.0,0.56,0.57,normal,21
0,tcp,http,0,0,1,0,0,0,0,0,0,0,14,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,0,0,1,0,0,0,0,0,0,0,33,0.0,0.03,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,icmp,eco_i,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0,1.0,53,0.0,1.0,0.51,0.0,0.0,0.0,ipsweep,17
0,tcp,finger,0,0,0,0,0,0,0,0,0,0,16,1.0,0.0,0.07,0.0,59,0.04,0.01,0.0,1.0,0.0,0.0,neptune,20
0,tcp,http,0,0,1,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,255,0.0,0.11,0.01,0.0,0.0,0.0,normal,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,1,0.31,0.28,0.0,0.0,0.29,1.0,portsweep,20
0,udp,domain_u,0,0,0,0,0,0,0,0,0,0,181,0.0,0.0,0.0,0.0,250,0.01,0.0,0.0,0.0,0.0,0.0,normal,18
1,udp,private,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,5,0.05,0.05,0.0,0.0,0.0,0.0,normal,19
0,udp,domain_u,0,0,0,0,0,0,0,0,0,0,202,0.0,0.0,0.0,0.01,255,0.0,0.01,0.0,0.0,0.0,0.0,normal,18
0,tcp,supdup,0,0,0,0,0,0,0,0,0,0,17,1.0,0.0,0.06,0.0,17,0.07,0.0,0.0,1.0,0.0,0.0,neptune,19
0,tcp,http,0,0,1,0,0,0,0,0,0,0,28,0.0,0.0,0.0,0.14,255,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,uucp_path,0,0,0,0,0,0,0,0,0,0,13,1.0,0.0,0.07,0.0,13,0.07,0.0,0.0,1.0,0.0,0.0,neptune,20
0,tcp,ftp_data,0,0,0,0,0,0,0,0,0,0,11,1.0,0.0,0.08,0.0,63,0.02,0.01,0.0,1.0,0.0,0.0,neptune,19
0,tcp,Z39_50,0,0,0,0,0,0,0,0,0,0,12,1.0,0.0,0.06,0.0,9,0.07,0.0,0.0,1.0,0.0,0.0,neptune,18
2,tcp,smtp,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,1.0,147,0.02,0.01,0.0,0.0,0.0,0.0,normal,21
9052,udp,other,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.5,0.0,2,0.66,0.99,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,0,0,1,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,csnet_ns,0,0,0,0,0,0,0,0,0,0,11,1.0,0.0,0.08,0.0,11,0.07,0.0,0.0,1.0,0.0,0.0,neptune,18
0,udp,private,3,0,0,0,0,0,0,0,0,0,80,0.0,0.0,0.0,0.0,80,0.02,0.31,0.0,0.0,0.0,0.0,teardrop,16
0,tcp,http,0,0,1,0,0,0,0,0,0,0,44,0.02,0.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,ftp_data,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,38,0.0,1.0,0.18,0.0,0.0,0.0,warezclient,12
0,tcp,ftp_data,0,0,0,0,0,0,0,0,0,0,17,1.0,0.0,0.05,0.0,5,0.07,0.0,0.0,1.0,0.0,0.0,neptune,18
0,tcp,http,0,0,1,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,255,0.0,0.01,0.04,0.0,0.0,0.0,normal,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,4,0.0,1.0,0.1,0.0,4,0.08,0.0,0.0,0.0,1.0,1.0,neptune,21
0,udp,private,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,2,0.02,0.01,0.0,0.0,0.77,0.0,teardrop,15
0,tcp,http,0,0,1,0,0,0,0,0,0,0,42,0.0,0.0,0.0,0.05,255,0.0,0.04,0.03,0.0,0.0,0.0,normal,21
0,udp,domain_u,0,0,0,0,0,0,0,0,0,0,120,0.0,0.0,0.0,0.0,245,0.01,0.01,0.0,0.0,0.0,0.0,normal,18
0,udp,domain_u,0,0,0,0,0,0,0,0,0,0,75,0.0,0.0,0.0,0.03,212,0.02,0.88,0.01,0.0,0.08,0.0,normal,21
0,icmp,eco_i,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,1.0,46,0.0,1.0,0.26,0.0,0.0,0.0,nmap,17
0,tcp,uucp,0,0,0,0,0,0,0,0,0,0,9,1.0,0.0,0.06,0.0,11,0.07,0.0,0.0,1.0,0.0,0.0,neptune,20
0,tcp,finger,0,0,0,0,0,0,0,0,0,0,12,1.0,0.0,0.08,0.0,59,0.04,0.0,0.0,1.0,0.0,0.0,neptune,18
0,udp,domain_u,0,0,0,0,0,0,0,0,0,0,228,0.0,0.0,0.0,0.01,255,0.0,0.01,0.0,0.0,0.0,0.0,normal,18
0,tcp,ftp_data,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,48,0.02,0.25,0.04,0.0,0.0,0.0,normal,21
0,tcp,private,0,0,0,0,0,0,0,0,0,0,4,0.0,1.0,0.06,0.0,4,0.08,0.0,0.0,0.0,1.0,1.0,neptune,21
